answer_recall,answer_precision,retrieval_recall,retrieval_precision,total_tokens,name_0,name_1,name_2,name_3,name_4,query_0,query_1,query_2,query_3,query_4,top_k_0,top_k_1,top_k_2,top_k_3,top_k_4,m_0,m_1,m_2,m_3,m_4
1.0,0.4444444444444444,1.0,0.3076923076923077,7170,execute_agentic_rag,execute_agentic_rag,,,,regionale Schwerpunkte Provence Frankreich,regionale Schwerpunkte Norditalien Essen Spezialitäten Küche Produkte,,,,4,4.0,,,,2,2.0,,,
1.0,0.75,0.7142857142857143,0.3333333333333333,4027,execute_agentic_rag,,,,,"französische und mexikanische Küche UNESCO Auszeichnung, welches Jahr, Unterschied der Würdigung",,,,,4,,,,,2,,,,
0.8333333333333334,0.6666666666666666,1.0,0.21428571428571427,4695,execute_agentic_rag,,,,,vegetarische Gerichte und Preise aus den Restaurantkarten (je eins pro Karte),,,,,6,,,,,2,,,,
0.4,0.16666666666666666,0.0,0.0,7356,execute_agentic_rag,execute_agentic_rag,,,,"italienische Gerichte, in denen ein expliziter Wein genannt wird",französische Weinregionen als Referenz zu italienischer Küche und Wein,,,,5,5.0,,,,2,2.0,,,
0.0,0.2857142857142857,0.0,0.0,5008,execute_agentic_rag,,,,,Heißgetränke Kaffeevarianten auf Restaurantkarten und Preisunterschiede,,,,,6,,,,,2,,,,
0.6666666666666666,1.0,0.6666666666666666,0.043478260869565216,8662,execute_agentic_rag,execute_agentic_rag,,,,traditionelle französische Gemüsespeise im Länderdokument,französische Speisen und Preise auf der Menükarte,,,,4,6.0,,,,2,2.0,,,
1.0,1.0,1.0,0.21052631578947367,6790,execute_agentic_rag,execute_agentic_rag,,,,Kommt Panna Cotta im italienischen Küchenporträt vor?,Steht Panna Cotta auf der Karte von Il sogno de Anton? Preis?,,,,4,6.0,,,,2,2.0,,,
1.0,0.8,0.8,0.14285714285714285,3861,execute_agentic_rag,,,,,Pizza-Variante Anton's Pizza Einfachheit Herkunft Küchenporträt,,,,,5,,,,,2,,,,
1.0,0.3333333333333333,1.0,0.21428571428571427,4442,execute_agentic_rag,,,,,typische mexikanische Getränke bei Tönis Tacos mit Preisen,,,,,6,,,,,2,,,,
0.75,0.4,0.25,0.1,3865,execute_agentic_rag,,,,,zwei Taco-Sorten von der Speisekarte und ihr gemeinsames Grundelement laut Küchenbeschreibung,,,,,5,,,,,2,,,,
0.2,0.5,0.2,0.034482758620689655,15360,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,Chez Anton Suppe Auswahl und deren Zusammensetzung,italienisches Küchenkapitel arme Leute Suppe Prinzip Beispiele Namen Erklärung,Chez Anton Soupe du Terrier Zutaten und Zubereitungsart Bezug zu arme Leute Suppe italienisch,,,5,5.0,3.0,,,2,2.0,3.0,,
0.75,0.5,0.75,0.18181818181818182,3862,execute_agentic_rag,,,,,Cocktail Italien zugeordnet kulturelle Informationen,,,,,6,,,,,2,,,,
0.7142857142857143,1.0,0.8571428571428571,0.2857142857142857,3245,execute_agentic_rag,,,,,Klassiker Cocktails auf der Getränkekarte von Tönis Tacos mit Preisen,,,,,5,,,,,2,,,,
0.5,0.6,1.0,0.0967741935483871,14457,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,zentrales Käseprodukt italienische Vorspeise Menü,welcher Käse ist zentral im italienischen Küchenporträt genannt,italienisches Küchenporträt: Parmigiano Reggiano Mozzarella Pecorino,,,5,3.0,5.0,,,3,2.0,2.0,,
0.4,0.5,0.8,0.10344827586206896,12205,execute_agentic_rag,execute_agentic_rag,execute_agentic_rag,,,französisches Dessert im Menü mit Preis,italienisches Dessert im Menü mit Preis,italienisches Dessert Tiramisu Preis Menü,,,4,4.0,6.0,,,2,2.0,2.0,,
1.0,0.16666666666666666,1.0,0.25,9121,execute_agentic_rag,execute_agentic_rag,,,,Risotto als Spezialität Norditaliens charakterisieren,Risotto Gerichte Preise Menü Restaurant,,,,4,6.0,,,,2,2.0,,,
1.0,0.0,1.0,0.1,3854,execute_agentic_rag,,,,,Preis Doggish Special Pizza Anton's Pizza,,,,,5,,,,,2,,,,
1.0,0.6666666666666666,1.0,0.14285714285714285,3276,execute_agentic_rag,,,,,drei wichtige französische Weinregionen,,,,,3,,,,,2,,,,
1.0,1.0,1.0,0.125,3293,execute_agentic_rag,,,,,heilige Fünf mexikanische Küche,,,,,4,,,,,2,,,,
1.0,0.0,1.0,0.125,3327,execute_agentic_rag,,,,,Vater der modernen Barkultur,,,,,3,,,,,2,,,,
1.0,1.0,1.0,0.125,3154,execute_agentic_rag,,,,,Zeitraum der Prohibition in den USA,,,,,3,,,,,2,,,,
1.0,1.0,1.0,0.14285714285714285,3071,execute_agentic_rag,,,,,Hauptstadt von Frankreich,,,,,3,,,,,2,,,,
1.0,0.5,1.0,0.2,2737,execute_agentic_rag,,,,,Wie viele Regionen gibt es in Italien laut offiziellen Länderdokumenten?,,,,,3,,,,,2,,,,
1.0,0.5714285714285714,0.0,0.1111111111111111,3850,execute_agentic_rag,,,,,typische italienische Menüfolge Aufbau,,,,,4,,,,,2,,,,
1.0,0.5,0.0,0.0,3158,execute_agentic_rag,,,,,Gastronomisches Mahl der Franzosen UNESCO-Weltkulturerbe seit wann,,,,,3,,,,,2,,,,
0.5,0.0,1.0,0.5,2990,execute_agentic_rag,,,,,Zwei Gerichte und deren Preise von der Speisekarte von Tönis Tacos,,,,,3,,,,,2,,,,
